,REGC2018_1,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Northland Region,none,none,none,none,medium,medium,none
2,Auckland Region,none,none,none,none,medium,medium,none
3,Waikato Region,none,none,low,none,low,low,none
4,Bay of Plenty Region,none,none,low,none,none,low,low
5,Gisborne Region,none,none,none,none,none,low,low
6,Hawke's Bay Region,none,none,none,none,none,low,none
7,Taranaki Region,none,none,low,none,none,none,none
8,Manawatu-Wanganui Region,none,none,low,none,none,none,none
9,Wellington Region,none,none,none,none,none,none,none
12,West Coast Region,none,low,none,none,none,none,none
13,Canterbury Region,none,none,none,none,none,none,none
14,Otago Region,none,none,none,none,none,none,none
15,Southland Region,low,none,none,none,none,none,none
16,Tasman Region,none,low,none,none,none,none,none
17,Nelson Region,none,low,none,none,none,none,none
18,Marlborough Region,none,low,none,none,none,none,none
